행정구역,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,ㅏ100세 이상
서울특별시  (1100000000),"474,516","720,692","1,289,342","1,439,984","1,362,566","1,464,806","1,306,602","792,037","359,368","51,418","1,352"
서울특별시 종로구 (1111000000),"5,310","9,366","20,666","19,583","18,131","22,768","20,595","12,016","6,815","1,106",38
서울특별시 중구 (1114000000),"5,156","5,876","16,356","21,211","16,060","17,941","17,831","11,028","5,728",947,18
서울특별시 용산구 (1117000000),"10,088","12,712","27,317","36,431","28,661","31,663","27,772","15,493","8,554","1,457",47
서울특별시 성동구 (1120000000),"15,696","17,413","38,339","46,362","39,100","42,708","37,983","21,482","10,695","1,458",31
서울특별시 광진구 (1121500000),"13,893","22,950","56,438","55,685","45,691","51,285","45,463","25,325","11,622","1,644",40
서울특별시 동대문구 (1123000000),"17,303","22,905","55,507","51,055","47,053","51,663","47,957","29,903","14,695","1,930",52
서울특별시 중랑구 (1126000000),"17,171","23,175","46,437","57,881","50,862","62,263","63,654","36,247","16,007","2,119",52
서울특별시 성북구 (1129000000),"22,001","34,172","62,980","55,555","59,882","69,900","57,891","35,585","18,280","2,533",63
서울특별시 강북구 (1130500000),"10,124","18,351","35,550","34,257","36,844","48,726","47,306","31,241","15,798","1,854",39
서울특별시 도봉구 (1132000000),"12,524","21,365","34,833","37,157","39,892","52,472","52,796","31,601","15,448","2,154",60
서울특별시 노원구 (1135000000),"23,737","45,308","63,188","60,333","70,276","84,758","72,302","43,009","20,499","3,230",91
서울특별시 은평구 (1138000000),"21,336","34,004","58,225","66,347","65,695","76,675","68,378","42,372","20,781","2,715",61
서울특별시 서대문구 (1141000000),"15,868","21,782","46,039","44,316","41,931","47,463","41,193","24,782","13,745","1,928",63
서울특별시 마포구 (1144000000),"18,838","25,888","56,211","63,805","54,575","55,367","42,146","24,635","13,469","2,060",38
서울특별시 양천구 (1147000000),"23,393","46,398","48,648","52,012","69,497","72,669","62,266","35,664","13,767","2,117",63
서울특별시 강서구 (1150000000),"28,017","40,330","73,635","95,719","82,215","81,241","79,075","47,639","19,011","3,004",80
서울특별시 구로구 (1153000000),"20,445","27,283","47,410","60,634","55,488","60,367","58,094","37,060","15,554","2,004",45
서울특별시 금천구 (1154500000),"8,726","12,244","32,916","38,736","27,711","35,569","36,566","20,625","8,900","1,099",28
서울특별시 영등포구 (1156000000),"20,271","22,355","54,518","72,838","51,910","53,680","48,653","29,619","14,125","2,015",54
서울특별시 동작구 (1159000000),"18,037","25,376","61,544","60,641","51,496","56,294","49,902","31,944","15,163","2,128",53
서울특별시 관악구 (1162000000),"14,501","24,272","103,403","91,323","57,951","64,334","59,722","39,773","18,363","2,093",46
서울특별시 서초구 (1165000000),"26,184","44,626","48,186","56,345","69,687","65,683","47,246","30,704","12,838","2,003",59
서울특별시 강남구 (1168000000),"32,722","63,344","64,724","80,143","98,877","86,544","62,391","41,876","16,358","2,547",74
서울특별시 송파구 (1171000000),"40,430","56,366","79,256","105,465","103,079","98,402","87,644","50,830","18,488","2,985",88
서울특별시 강동구 (1174000000),"32,745","42,831","57,016","76,150","80,002","74,371","71,776","41,584","14,665","2,288",69
